,0
91,"110 Fort Wayne, IN 46806-1100"
92,"201 E Rudisill Blvd Fort Wayne, IN 46806-1738"
93,"2100 Goshen Rd Fort Wayne, IN 46808-1493"
94,"2860 Northpark Ave Huntington, IN 46750-9700"
95,"2120 Washington Ave Frankfort, IN 46041-8207"
96,"225 E Rm Wr-A Flora, IN 46929-9688"
97,"309 Delphi, IN 46923-1651"
98,"901 Prince William Rd, Ste A Delphi, IN 46923-1759"
99,"692 E Broadway St Monon, IN 47959-8191"
100,"128 W Market St Wolcott, IN 47995-8130"
101,"416 W Camp St Lebanon, IN 46052-1799"
102,"1716 Hartford St Lafayette, IN 47904-2173"
103,"2121 S Gopher Dr Frankfort, IN 46041-6800"
104,"1324 Tippecanoe St Lafayette, IN 47904-2051"
105,"2316 South St Lafayette, IN 47904-2971"
106,"1810 Lafayette Rd Crawfordsville, IN 47933-1035"
107,"1702 Lafayette Rd Crawfordsville, IN 47933-1033"
108,"36 Avon, IN 46123-8923"
109,"1600 W Main St Lebanon, IN 46052-2388"
110,"239 Hillsdale Ave Ste A Greencastle, IN 46135-1340"
111,"3118 S Lafountain St Kokomo, IN 46902-3710"
112,"925 S Nebraska St Marion, IN 46953-1874"
113,"1805 E Vaile Ave Kokomo, IN 46901-5614"
114,"925 South Marion, IN 46952"
115,"116 S Main St Ste E Tipton, IN 46072-1864"
116,"121 W Washington St Alexandria, IN 46001-1809"
117,"1 Alexandria, IN 46001-2806"
118,"16 Alexandria, IN 46001-2632"
119,"300 Anderson, IN 46011-3439"
120,"1229 Lincoln St Anderson, IN 46016-1693"
121,"240 N Tillotson Ave Muncie, IN 47304-3988"
122,"110 E Wysor St Muncie, IN 47305-1724"
123,"1518 Main St Elwood, IN 46036-2021"
124,"101 N Harrison St Alexandria, IN 46001-2017"
125,"1 Muncie, IN 47305-1458"
126,"130 N Tillotson Ave Muncie, IN 47304-3987"
127,"6 Muncie, IN 47302-5808"
128,"1547 Ohio Ave Anderson, IN 46016-1917"
129,"1 Anderson, IN 46011-4042"
130,"205 N Tillotson Ave Muncie, IN 47304-3900"
131,"110 N Tillotson Ave Muncie, IN 47304-3987"
132,"100 N Tillotson Ave Muncie, IN 47304-3987"
133,"3620 W White River Blvd Muncie, IN 47304-4286"
134,"100 W Washington St Muncie, IN 47305-1752"
135,"333 S Madison St Muncie, IN 47305-2465"
136,"8 Anderson, IN 46016-4341"
137,"1804 W Royale Dr Muncie, IN 47304-2243"
138,"333 S Madison St Muncie, IN 47305-2465"
139,"2600 W White River Blvd Muncie, IN 47303-5263"
140,"801 N Walnut St Muncie, IN 47305-1458"
141,"2009 Brown St Anderson, IN 46016-4216"
142,"697 Pro Med Ln Carmel, IN 46032-5323"
143,"2020 Brown St Anderson, IN 46016-4218"
144,"13 Elwood, IN 46036"
145,"00 W Fairmount, IN 46928-9318"
146,"32 Anderson, IN 46011-8765"
147,"1 Anderson, IN 46013-9715"
148,"17840 Cumberland Rd Noblesville, IN 46060-5409"
149,"1107 N State St Greenfield, IN 46140-1207"
150,"44 STE B Shelbyville, IN 46176-4030"
151,"509 Conrad Harcourt Way Rushville, IN 46173-1165"
152,"2300 Chester Blvd Richmond, IN 47374-1221"
153,"1 Richmond, IN 47374-6116"
154,"100 Mattie Harris Rd Centerville, IN 47330-1335"
155,"203 E Main St Richmond, IN 47374-4208"
156,"1 Indianapolis, IN 46227-1085"
157,"911 E Main Cross St Edinburgh, IN 46124-1501"
158,"5550 S East St Indianapolis, IN 46227-1979"
159,"55 N Milford Dr Franklin, IN 46131-7308"
160,"163 Butner Dr Hope, IN 47246-9447"
161,"14 Trafalgar Sq Trafalgar, IN 46181-9515"
162,"8320 Madison Ave Indianapolis, IN 46227-6066"
163,"1860 Northwood Plz Franklin, IN 46131-1037"
164,"720 N Marr Rd STE A Columbus, IN 47201-6660"
165,"390 Erie Ave Connersville, IN 47331-3177"
166,"2025 Virginia Ave Connersville, IN 47331-2971"
167,"950 N Market St Liberty, IN 47353-8496"
168,"3980 Meadows Dr Indianapolis, IN 46205-3114"
169,"3401 E Raymond St Indianapolis, IN 46203-4744"
170,"615 Indianapolis, IN 46202-2221"
171,"1537 Central Ave Indianapolis, IN 46202-2606"
172,"2215 W Washington St Indianapolis, IN 46222-4279"
173,"310 Indianapolis, IN 46202-1196"
174,"409 Indianapolis, IN 46226-6157"
175,"907 N Holmes Ave Indianapolis, IN 46222-3714"
176,"3908 Meadows Dr Ste C Indianapolis, IN 46205-3114"
177,"2944 Clifton St Indianapolis, IN 46208-4938"
178,"269 Indianapolis, IN 46241-4919"
179,"117 Indianapolis, IN 46278-1730"
180,"1850 N Arsenal Ave Indianapolis, IN 46218-4237"
181,"106 Indianapolis, IN 46218-3444"
182,"100 Indianapolis, IN 46218-2790"
183,"3908 Meadows Dr Indianapolis, IN 46205-3114"
184,"540 N Alabama St Indianapolis, IN 46204-1536"
185,"2400 N Tibbs Ave Indianapolis, IN 46222-2458"
186,"901 Shelby St Indianapolis, IN 46203-1151"
187,"1522 W Morris St Indianapolis, IN 46221-1629"
188,"1500 E Michigan St Indianapolis, IN 46201-3079"
189,"1751 E Riverside Dr Indianapolis, IN 46202-2010"
190,"3208 E Michigan St Indianapolis, IN 46201-3318"
191,"1315 N Arlington Ave Indianapolis, IN 46219-3204"
192,"7481 N Shadeland Ave STE A Indianapolis, IN 46250-2077"
193,"300 Indianapolis, IN 46219-1712"
194,"2506 Willowbrook Pkwy Indianapolis, IN 46205-1564"
195,"108 Indianapolis, IN 46208-4436"
196,"8620 Montery Rd Indianapolis, IN 46226-5470"
197,"2 Indianapolis, IN 46224-1228"
198,"4326 Patricia St Indianapolis, IN 46222-1543"
199,"140 Indianapolis, IN 46202-1134"
200,"7435 N Keystone Ave Indianapolis, IN 46240-4367"
201,"100 Indianapolis, IN 46225-1819"
202,"100 Indianapolis, IN 46201-2404"
203,"3307 Ashway Dr Indianapolis, IN 46224-2120"
204,"129 Indianapolis, IN 46203-4340"
205,"336 Indianapolis, IN 46208-3956"
206,"100 Indianapolis, IN 46221-1637"
207,"604 Indianapolis, IN 46224-1519"
208,"413 Indianapolis, IN 46218-5101"
209,"3426 Roosevelt Ave Indianapolis, IN 46218-3762"
210,"007 Indianapolis, IN 46218-1133"
211,"100 Indianapolis, IN 46222-3144"
212,"1849 N Whitcomb Ave Indianapolis, IN 46224-5538"
213,"653 N Somerset Ave Indianapolis, IN 46222-3327"
214,"321 N Linwood Ave Indianapolis, IN 46201-3641"
215,"104 Indianapolis, IN 46218-3315"
216,"200 Indianapolis, IN 46222-1147"
217,"3400 Lafayette Rd Indianapolis, IN 46222-1146"
218,"404 Indianapolis, IN 46201-3112"
219,"1250 E Market St Indianapolis, IN 46202-3831"
220,"5700 Meadowood Dr Speedway, IN 46224-3245"
221,"404 Indianapolis, IN 46203-1375"
222,"501 N East St Indianapolis, IN 46204-1632"
223,"2700 Dr Martin Luther King Jr St Indianapolis, IN 46208-5019"
224,"1650 N College Ave STE B Indianapolis, IN 46202-1715"
225,"3840 N Sherman Dr Indianapolis, IN 46226-4462"
226,"3010 N White River Parkway East Dr Indianapolis, IN 46208-4983"
227,"2505 N Arlington Ave Indianapolis, IN 46218-3318"
228,"1660 N Illinois St Indianapolis, IN 46202-0059"
229,"6940 Michigan Rd Indianapolis, IN 46268-2800"
230,"1112 Southeastern Ave Indianapolis, IN 46202-3947"
231,"720 Eskenazi Ave Indianapolis, IN 46202-5187"
232,"2732 W Michigan St Indianapolis, IN 46222-3750"
233,"100 Indianapolis, IN 46204-2193"
234,"234 E Southern Ave Indianapolis, IN 46225-2121"
235,"201 Shelby St Indianapolis, IN 46202-3943"
236,"2506 Willowbrook Pkwy Indianapolis, IN 46205-1564"
237,"315 Mulberry St Evansville, IN 47713-1252"
238,"25 W Division St Evansville, IN 47710-1374"
239,"401 John St Evansville, IN 47713-2733"
240,"316 Chandler Ave Evansville, IN 47713-1147"
241,"35 Bob Babbs Dr Spencer, IN 47460-6828"
242,"480 Eversman Dr Jasper, IN 47546-3548"
243,"420 W Longest St Paoli, IN 47454-8821"
244,"5604 E White Oak Ln Marengo, IN 47140-8413"
245,"637 E Washington St Orleans, IN 47452-9016"
246,"200 W Wilson St Orleans, IN 47452-1007"
247,"307 S Indiana Ave English, IN 47118-5851"
248,"127 Water St Shoals, IN 47581-5522"
249,"56 STE A West Baden Springs, IN 47469-7706"
250,"108 N Main St Princeton, IN 47670-1540"
251,"700 S Main St Clinton, IN 47842-2420"
252,"201 W Academy St Bloomingdale, IN 47832-8095"
253,"703 W Park St Cayuga, IN 47928-8207"
254,"100 Clinton, IN 47842-2493"
255,"100 Clinton, IN 47842-2493"
256,"727 N Lincoln Rd Rockville, IN 47872-1117"
257,"201 Terre Haute, IN 47807-1061"
258,"601 W National Ave West Terre Haute, IN 47885-1303"
259,"1436 Locust St Terre Haute, IN 47807-1648"
260,"1027 Washington Ave, #B Vincennes, IN 47591-2240"
261,"714 W Main St Jasonville, IN 47438-1323"
262,"9 Linton, IN 47441-1612"
263,"1319 Duncan Ave Jeffersonville, IN 47130-3759"
264,"290 N Harrison Dr Corydon, IN 47112-1725"
265,"1 Clarksville, IN 47129-2290"
266,"1000 E Spring St New Albany, IN 47150-2943"
267,"338 S Washington St Bloomington, IN 47401-3529"
268,"3 Bloomington, IN 47404-5082"
269,"120 Saint Louis Ave Seymour, IN 47274-2304"
270,"2277 W Frontage Rd Austin, IN 47102-8828"
271,"404 Spring St Jeffersonville, IN 47130-3452"
272,"1036 Sharon Dr Jeffersonville, IN 47130-4522"
273,"460 Spring St Jeffersonville, IN 47130-3452"
274,"2277 W Frontage Rd Austin, IN 47102-8828"
275,"618 E Market St New Albany, IN 47150-2914"
276,"2604 Charlestown Rd New Albany, IN 47150-2529"
277,"1020 Vincennes St New Albany, IN 47150-3148"
278,"1020 Vincennes St New Albany, IN 47150-3148"
279,"1321 S Jackson St Salem, IN 47167-9730"
280,"1101 N Shelby St Salem, IN 47167-1678"
281,"1201 N Jim Day Rd Salem, IN 47167-7219"
282,"7200 S Ingleside Ave Chicago, IL 60619-1254"
283,"8234 S Ashland Ave Chicago, IL 60620-4625"
284,"13000 Maple Ave Blue Island, IL 60406-2318"
285,"6821 S Halsted St Chicago, IL 60621-1833"
286,"2 Robbins, IL 60472-2002"
287,"9718 S Halsted St Chicago, IL 60628-1007"
288,"9718 S Halsted St Chicago, IL 60628-1007"
289,"6134 S Cottage Grove Ave Chicago, IL 60637-2565"
290,"201 Chicago, IL 60615-5582"
291,"1 Chicago, IL 60637-1917"
292,"5837 S Maryland Ave Chicago, IL 60637-1463"
293,"2641 S Calumet Ave Chicago, IL 60616-2901"
294,"4829 S Cottage Grove Ave Chicago, IL 60615-1600"
295,"4259 S Berkeley Ave Chicago, IL 60653-3030"
296,"8425 S Cottage Grove Ave Chicago, IL 60619-6113"
297,"102 Chicago, IL 60621-2535"
298,"8150 S Bishop St Chicago, IL 60620-3854"
299,"152 W Lincoln Hwy Chicago Heights, IL 60411-2619"
300,"500 Dixie Hwy Chicago Heights, IL 60411-1741"
301,"233 W Joe Orr Rd Bldg S Chicago Heights, IL 60411-1744"
302,"1536 Vincennes Ave Chicago Heights, IL 60411-3458"
303,"233 W Joe Orr Rd Bldg North Chicago Heights, IL 60411-1744"
304,"1150 Hazel Crest, IL 60429-2095"
305,"3200 Hazel Crest, IL 60429-2086"
306,"1777 E Court St Kankakee, IL 60901-2670"
307,"2061
South Suburban Homeless Outreach Center 
15420"
308,"614 N Gilbert St Danville, IL 61832-3940"
309,"200 E Walnut St Watseka, IL 60970-1356"
310,"5740
Chicago Family Health Center East Side 
10536"
311,"9119 S Exchange Ave Chicago, IL 60617-4225"
312,"2320 Thornton Lansing Rd Lansing, IL 60438-2116"
313,"901 E Sibley Blvd South Holland, IL 60473-1166"
314,"364 Torrence Ave Calumet City, IL 60409-1902"
315,"520 E Wabash Ave Rantoul, IL 61866-3018"
316,"206 Kankakee, IL 60901-3605"
317,"1126 Country Club Ln Rantoul, IL 61866-3564"
318,"3633
Family Christian Health Center Lynwood 
19767"
319,"7624
Family Christian Health Center MCHC 
15620"
320,"202 E Fairchild St Danville, IL 61832-3114"
321,"13100 S Doty Ave Chicago, IL 60827-1597"
322,"6908
TCA Health – Hegewisch 
13336"
323,"7037 S Stony Island Ave Chicago, IL 60649"
324,"109 Monee, IL 60449-8864"
325,"6020 W Diversey Ave BLDG West Chicago, IL 60639-1108"
326,"3202 W North Ave Chicago, IL 60647-4940"
327,"14 West Chicago, IL 60185-3739"
328,"101 Chicago, IL 60622-2743"
329,"2418 W Division St Chicago, IL 60622-2940"
330,"4747 N Kedzie Ave Chicago, IL 60625-4420"
331,"2750 W North Ave Chicago, IL 60647-5247"
332,"135 E Irving Park Rd Streamwood, IL 60107-2950"
333,"83 Bensenville, IL 60106-1034"
334,"228 E Lake St Addison, IL 60101-2889"
335,"3737 W Lawrence Ave Chicago, IL 60625-5746"
336,"3244 W Ainslie St Chicago, IL 60625-5018"
337,"3436 W Wilson Ave Chicago, IL 60625-5318"
338,"1 Chicago, IL 60647-7573"
339,"1520 N Kostner Ave Chicago, IL 60651-1610"
340,"2844 N Milwaukee Ave Chicago, IL 60618-7401"
341,"3030 N Mobile Ave Chicago, IL 60634-4041"
342,"5359 W Fullerton Ave Chicago, IL 60639-1450"
343,"2434 W Division St Chicago, IL 60622-2942"
344,"5635 W Belmont Ave Chicago, IL 60634-4384"
345,"3924 W Fullerton Ave Chicago, IL 60647-2228"
346,"1920 N Hamlin Ave Chicago, IL 60647-3411"
347,"1649 N Pulaski Rd Chicago, IL 60639-5207"
348,"3240 W Division St Chicago, IL 60651-2405"
349,"111 N County Farm Rd Wheaton, IL 60187-3977"
350,"213 W Main St Bensenville, IL 60106-2134"
351,"801 Villa St Elgin, IL 60120-8001"
352,"3600 W Fullerton Ave Chicago, IL 60647-2319"
353,"104 Addison, IL 60101-1478"
354,"231 Elgin, IL 60120-4339"
355,"241 Elgin, IL 60120-4339"
356,"3450 S Archer Ave Chicago, IL 60608-6837"
357,"3040 S Cicero Ave Cicero, IL 60804-3638"
358,"3044 S Cicero Ave Cicero, IL 60804-3638"
359,"8321 W North Ave Melrose Park, IL 60160-1669"
360,"8323 W North Ave Melrose Park, IL 60160-1605"
361,"1817 S Loomis St Chicago, IL 60608-3018"
362,"2533 W Cermak Rd Chicago, IL 60608-3719"
363,"100 Berwyn, IL 60402-2311"
364,"2355 S Western Ave Chicago, IL 60608-3837"
365,"6447 Cermak Rd Berwyn, IL 60402-2311"
366,"1450 W Cermak Rd Chicago, IL 60608-4408"
367,"3120 S Kostner Ave Chicago, IL 60623-4842"
368,"6507 Cermak Rd Lot Parking Berwyn, IL 60402-2312"
369,"200 Chicago, IL 60632-4847"
370,"100 Chicago, IL 60638-2023"
371,"300 Chicago, IL 60623-3503"
372,"4700 S California Ave Chicago, IL 60632-2016"
373,"100 Chicago, IL 60608-2486"
374,"101 Chicago, IL 60608-2486"
375,"4802 S Ashland Ave Chicago, IL 60609-4233"
376,"5635 S Pulaski Rd Chicago, IL 60629-4438"
377,"10225 Grand Avenue, Franklin Park, IL 60131"
378,"10225 Grand Ave Franklin Park, IL 60131-3138"
379,"2 Chicago, IL 60629-2343"
380,"5122 S Archer Ave Chicago, IL 60632-4508"
381,"101 Melrose Park, IL 60160-4100"
382,"6201 Roosevelt Rd Berwyn, IL 60402-1108"
383,"23 W Calendar Ave La Grange, IL 60525-2365"
384,"105 E Burlington St STE C Riverside, IL 60546-2382"
385,"27 W Calendar Ave La Grange, IL 60525-3141"
386,"110 La Grange, IL 60525-2669"
387,"5635 State Rd Burbank, IL 60459-2051"
388,"4630 S Bishop St Chicago, IL 60609"
389,"4747 W Cermak Rd Cicero, IL 60804-2508"
390,"1 N Broadway St Des Plaines, IL 60016-2335"
391,"1120 N Arlington Heights Rd Arlington Heights, IL 60004-4767"
392,"2501 W Peterson Ave Chicago, IL 60659-4108"
393,"700 Chicago, IL 60625-8562"
394,"4015 N Ashland Ave Chicago, IL 60613-2593"
395,"345 W. Northwest Highway, Palatine, IL 60067"
396,"345 W Northwest Hwy Palatine, IL 60067-2414"
397,"2645 W Lawrence Ave Chicago, IL 60625-2944"
398,"4423 N Ravenswood Ave Chicago, IL 60640-5802"
399,"3154 N Clark St Chicago, IL 60657-4437"
400,"3245 N Halsted St Chicago, IL 60657-3419"
401,"1735 N Ashland Ave Chicago, IL 60622-1435"
402,"211 Chicago, IL 60657-6161"
403,"150 E Huron St Chicago, IL 60611-2999"
404,"100 Worth, IL 60482-1851"
405,"5159 S Ashland Ave Chicago, IL 60609-4931"
406,"5147 S Ashland Ave Chicago, IL 60609-4900"
407,"2653 W Ogden Ave Chicago, IL 60608-1647"
408,"508 Chicago, IL 60651-3161"
409,"5 Chicago, IL 60609-6300"
410,"3800 W Madison St Chicago, IL 60624-2312"
411,"2409 W Warren Blvd Chicago, IL 60612-2115"
412,"5139 S Ashland Ave Chicago, IL 60609-4931"
413,"5001 S Michigan Ave Chicago, IL 60615-2112"
414,"1147 N Western Ave Chicago, IL 60622-2931"
415,"1504 S Albany Ave Chicago, IL 60623-2209"
416,"1701 W Superior St Chicago, IL 60622-5646"
417,"646 N Lawndale Ave Chicago, IL 60624-1254"
418,"6550 S Richmond St Chicago, IL 60629-2821"
419,"6057 S Western Ave Chicago, IL 60636-2019"
420,"5843 S Western Ave Chicago, IL 60636-1526"
421,"5501 S Halsted St Chicago, IL 60621-2229"
422,"932 W Washington Blvd Chicago, IL 60607-2217"
423,"3860 W Ogden Ave Chicago, IL 60623-2460"
424,"3745 W Ogden Ave Chicago, IL 60623-2427"
425,"3910 W Ogden Ave Chicago, IL 60623-2470"
426,"1111 N Wells St Chicago, IL 60610-7635"
427,"402 N Saint Louis Ave Chicago, IL 60624-1332"
428,"3330 W Carroll Ave Chicago, IL 60624-2034"
429,"2715 W Harrison St Chicago, IL 60612-3422"
430,"10 S Kedzie Ave Chicago, IL 60612-2706"
431,"1 Chicago, IL 60624-2031"
432,"415 S Kilpatrick Ave Chicago, IL 60644-4923"
433,"4207 W Carroll Ave Chicago, IL 60624-1704"
434,"3517 W Arthington St Side West Chicago, IL 60624-4165"
435,"1 Chicago, IL 60607-5201"
436,"4952 W Madison St Chicago, IL 60644-3541"
437,"042 Chicago, IL 60651-4110"
438,"1 Chicago, IL 60623-2458"
439,"200 S Sacramento Blvd Chicago, IL 60612-2716"
440,"3812 W Ogden Ave Chicago, IL 60623-2458"
441,"3851 W Ogden Ave Chicago, IL 60623-2459"
442,"3750 W Ogden Ave Chicago, IL 60623-2426"
443,"1276 N Clybourn Ave Chicago, IL 60610-2089"
444,"800 N Kedzie Ave Chicago, IL 60651-4100"
445,"20 Lake St Oak Park, IL 60302-2606"
446,"5425 W Lake St Chicago, IL 60644-2342"
447,"3456 W Franklin Blvd Chicago, IL 60624-1308"
448,"14 Lake St Oak Park, IL 60302-2606"
449,"7120 Oak Park, IL 60302-2510"
450,"6160 Oak Park, IL 60302-2510"
451,"6040 Oak Park, IL 60302-2510"
452,"1 Chicago, IL 60644-3040"
453,"7140 Oak Park, IL 60302-2510"
454,"1300 Oak Park, IL 60302-2519"
455,"3 Erie Ct Oak Park, IL 60302-2519"
456,"209 Chicago, IL 60622-7712"
457,"406 Chicago, IL 60622-1774"
458,"401 Chicago, IL 60622-7712"
459,"1127 N Oakley Blvd Chicago, IL 60622-3507"
460,"101 Chicago, IL 60622-7712"
461,"2710 S Dearborn St Chicago, IL 60616-2684"
462,"55 W Cermak Rd Chicago, IL 60616"
463,"1628 W Washington Blvd Chicago, IL 60612"
464,"1220 S Wood St Chicago, IL 60608-1202"
465,"1111 W Lake St Addison, IL 60101-1101"
466,"245 S Gary Ave Lowr Level Bloomingdale, IL 60108-2228"
467,"3003 Wakefield Dr Carpentersville, IL 60110-2422"
468,"408 Elgin, IL 60123-2305"
469,"202 Hanover Park, IL 60133-7152"
470,"373 Summit St Elgin, IL 60120-3733"
471,"450 Dundee Ave Elgin, IL 60120-4205"
472,"1135 Bowes Rd Elgin, IL 60123-5541"
473,"397 S Schmale Rd Carol Stream, IL 60188-2756"
474,"150 Carol Stream, IL 60188-2778"
475,"1845 Grandstand Pl Elgin, IL 60123-6603"
476,"620 Wing St Elgin, IL 60123-2800"
477,"121 S Wilke Rd Arlington Heights, IL 60005-1533"
478,"6620 Barrington Rd Hanover Park, IL 60133-3935"
479,"151 Dundee Ave BLDG East Dundee, IL 60118-1648"
480,"1723 Howard St Evanston, IL 60202-3735"
481,"1555 W Howard St Chicago, IL 60626-1707"
482,"8321 W Golf Rd Niles, IL 60714-1113"
483,"2424 W Peterson Ave Chicago, IL 60659-4100"
484,"8800 Lockwood Ave Skokie, IL 60077-1500"
485,"5110 N Damen Ave Chicago, IL 60625-1317"
486,"1285 Hartrey Ave Evanston, IL 60202-1056"
487,"1542 W Devon Ave Chicago, IL 60660-1344"
488,"249 Chicago, IL 60640-7512"
489,"1015 W Lawrence Ave Chicago, IL 60640-5017"
490,"6700 N Greenview Ave Chicago, IL 60626-4208"
491,"6631 N Bosworth Ave Chicago, IL 60626-4223"
492,"5710 N Broadway St Chicago, IL 60660-4302"
493,"1300 W Devon Ave Chicago, IL 60660-1302"
494,"5900 N Glenwood Ave Chicago, IL 60660-3312"
495,"2200 W Touhy Ave Chicago, IL 60645-3412"
496,"900 W Wilson Ave Chicago, IL 60640-5707"
497,"1631 W Jonquil Ter Chicago, IL 60626-9807"
498,"845 W Wilson Ave Chicago, IL 60640-8090"
499,"8320 Skokie Blvd Skokie, IL 60077-2545"
500,"2424 W Touhy Ave Chicago, IL 60645-3310"
501,"1400 W Greenleaf Ave Chicago, IL 60626-2805"
502,"1023 W Irving Park Rd Chicago, IL 60613-2913"
503,"6500 N Clark St Chicago, IL 60626-4097"
504,"3948 N Sheridan Rd Chicago, IL 60613-2935"
505,"4025 N Sheridan Rd Chicago, IL 60613-2010"
506,"4501 N Sheridan Rd Chicago, IL 60640-5608"
507,"4140 N Broadway St Chicago, IL 60613-2121"
508,"2323 Grand Ave Waukegan, IL 60085-3312"
509,"300 Mchenry Rd Wheeling, IL 60090-2696"
510,"2400 Belvidere Rd Waukegan, IL 60085-6191"
511,"3010 Grand Ave Waukegan, IL 60085-2399"
512,"18698 W Peterson Rd Libertyville, IL 60048-1052"
513,"224 W Clarendon Dr Round Lake Beach, IL 60073-1896"
514,"2215 Audrey Nixon Blvd North Chicago, IL 60064-1618"
515,"1840 Green Bay Rd Highland Park, IL 60035-3110"
516,"3004 Grand Ave Waukegan, IL 60085-2321"
517,"800 High School Dr Round Lake, IL 60073-2951"
518,"1 Woodstock, IL 60098-7517"
519,"400 Mercy Ln Aurora, IL 60506-2447"
520,"215 E New York St Aurora, IL 60505-3400"
521,"1050 Logan Ave Belvidere, IL 61008-3966"
522,"3901 Mercy Dr Mchenry, IL 60050-3151"
523,"113 Willowbrook, IL 60527-6126"
524,"309 New Indian Trail Ct Aurora, IL 60506-2411"
525,"400 N Highland Ave Aurora, IL 60506-3814"
526,"1400 Indian Ave Aurora, IL 60505-3137"
